condition,i,beta,category,n_gt,P,R,F1,mAP@0.5,mAP@0.5:0.95
clear,,,small,2434,0.9162,0.8270,0.8694,0.8641,0.4476
clear,,,medium,4159,0.9294,0.8351,0.8797,0.9051,0.4883
clear,,,large,7849,0.9844,0.9350,0.9591,0.9675,0.5496
clear,,,all,14442,0.9444,0.8871,0.9148,0.9329,0.5103
fog0,0,0.05,small,2434,0.8943,0.8624,0.8781,0.8858,0.4154
fog0,0,0.05,medium,4145,0.9469,0.7829,0.8571,0.8608,0.4554
fog0,0,0.05,large,7705,0.9849,0.9211,0.9519,0.9584,0.5482
fog0,0,0.05,all,14284,0.9461,0.8704,0.9067,0.9199,0.4971
fog1,1,0.06,small,2434,0.8829,0.8143,0.8472,0.8567,0.3967
fog1,1,0.06,medium,4144,0.9464,0.7536,0.8391,0.8372,0.4406
fog1,1,0.06,large,7689,0.9850,0.9120,0.9471,0.9534,0.5402
fog1,1,0.06,all,14267,0.9365,0.8518,0.8921,0.9056,0.4854
fog2,2,0.07,small,2378,0.8803,0.7481,0.8088,0.8097,0.3710
fog2,2,0.07,medium,4110,0.9082,0.7416,0.8165,0.8112,0.4184
fog2,2,0.07,large,7689,0.9702,0.9092,0.9387,0.9496,0.5284
fog2,2,0.07,all,14177,0.9248,0.8255,0.8723,0.8872,0.4680
fog3,3,0.08,small,2434,0.8481,0.7177,0.7775,0.7753,0.3514
fog3,3,0.08,medium,4144,0.8869,0.7000,0.7825,0.7777,0.3857
fog3,3,0.08,large,7689,0.9718,0.8934,0.9309,0.9419,0.5093
fog3,3,0.08,all,14267,0.9166,0.8012,0.8550,0.8664,0.4437
fog4,4,0.09,small,2434,0.8605,0.6311,0.7281,0.7055,0.2996
fog4,4,0.09,medium,4144,0.8748,0.6443,0.7421,0.7377,0.3510
fog4,4,0.09,large,7689,0.9696,0.8871,0.9265,0.9361,0.4947
fog4,4,0.09,all,14267,0.9181,0.7599,0.8316,0.8382,0.4164
fog5,5,0.1,small,2434,0.7879,0.5740,0.6641,0.6296,0.2421
fog5,5,0.1,medium,4144,0.8028,0.6129,0.6951,0.6807,0.3090
fog5,5,0.1,large,7689,0.9566,0.8537,0.9022,0.9111,0.4526
fog5,5,0.1,all,14267,0.8804,0.7210,0.7928,0.7904,0.3698
fog6,6,0.11,small,2434,0.6986,0.4827,0.5709,0.5108,0.1740
fog6,6,0.11,medium,4144,0.7613,0.5311,0.6257,0.5927,0.2565
fog6,6,0.11,large,7689,0.9361,0.7958,0.8603,0.8577,0.4056
fog6,6,0.11,all,14267,0.8110,0.6624,0.7292,0.7123,0.3178
fog7,7,0.12,small,2434,0.6622,0.3632,0.4691,0.3918,0.1171
fog7,7,0.12,medium,4144,0.6566,0.4443,0.5299,0.4706,0.2001
fog7,7,0.12,large,7689,0.9052,0.6620,0.7647,0.7111,0.3226
fog7,7,0.12,all,14267,0.7500,0.5371,0.6260,0.5737,0.2466
fog8,8,0.13,small,2434,0.5990,0.2995,0.3993,0.3131,0.0863
fog8,8,0.13,medium,4144,0.5732,0.3431,0.4293,0.3348,0.1369
fog8,8,0.13,large,7689,0.8144,0.4878,0.6102,0.5106,0.2173
fog8,8,0.13,all,14267,0.6561,0.4028,0.4992,0.4116,0.1668
fog9,9,0.14,small,2434,0.4570,0.2272,0.3035,0.2255,0.0594
fog9,9,0.14,medium,4144,0.4290,0.2078,0.2800,0.1872,0.0751
fog9,9,0.14,large,7612,0.7760,0.3008,0.4336,0.3127,0.1267
fog9,9,0.14,all,14190,0.5354,0.2544,0.3449,0.2430,0.0944
