condition,i,beta,category,n_gt,P,R,F1,mAP@0.5,mAP@0.5:0.95
clear,,,small,2434,0.9147,0.9470,0.9306,0.9598,0.5279
clear,,,medium,4159,0.9617,0.8622,0.9092,0.9182,0.5250
clear,,,large,7849,0.9930,0.9348,0.9630,0.9671,0.5963
clear,,,all,14442,0.9650,0.9176,0.9407,0.9534,0.5639
fog0,0,0.05,small,2434,0.8056,0.8242,0.8148,0.8199,0.2514
fog0,0,0.05,medium,4145,0.8539,0.6191,0.7178,0.7082,0.3337
fog0,0,0.05,large,7705,0.9351,0.8132,0.8699,0.8726,0.4524
fog0,0,0.05,all,14284,0.8585,0.7592,0.8058,0.8171,0.3792
fog1,1,0.06,small,2434,0.6785,0.7153,0.6964,0.6641,0.1953
fog1,1,0.06,medium,4144,0.7631,0.4858,0.5936,0.5780,0.2478
fog1,1,0.06,large,7689,0.9199,0.6425,0.7566,0.7573,0.3532
fog1,1,0.06,all,14267,0.7541,0.6151,0.6775,0.6766,0.2821
fog2,2,0.07,small,2378,0.5424,0.6236,0.5802,0.5245,0.1533
fog2,2,0.07,medium,4110,0.5878,0.3696,0.4538,0.4106,0.1652
fog2,2,0.07,large,7689,0.8237,0.4278,0.5631,0.5965,0.2373
fog2,2,0.07,all,14177,0.6242,0.4366,0.5138,0.4821,0.1787
fog3,3,0.08,small,2434,0.4723,0.3743,0.4176,0.3523,0.1067
fog3,3,0.08,medium,4144,0.3369,0.2186,0.2652,0.2246,0.0932
fog3,3,0.08,large,7689,0.5492,0.2576,0.3507,0.4139,0.1559
fog3,3,0.08,all,14267,0.4238,0.2616,0.3235,0.2971,0.1090
fog4,4,0.09,small,2434,0.3743,0.2128,0.2713,0.2103,0.0697
fog4,4,0.09,medium,4144,0.2054,0.0919,0.1270,0.1065,0.0489
fog4,4,0.09,large,7689,0.4701,0.1328,0.2071,0.2932,0.1128
fog4,4,0.09,all,14267,0.2603,0.1481,0.1888,0.1823,0.0706
fog5,5,0.1,small,2434,0.3075,0.1126,0.1648,0.1357,0.0505
fog5,5,0.1,medium,4144,0.0912,0.0487,0.0635,0.0575,0.0270
fog5,5,0.1,large,7689,0.3446,0.0727,0.1201,0.1993,0.0863
fog5,5,0.1,all,14267,0.1894,0.0775,0.1100,0.1203,0.0513
fog6,6,0.11,small,2434,0.2164,0.0826,0.1195,0.1033,0.0401
fog6,6,0.11,medium,4144,0.0617,0.0186,0.0286,0.0306,0.0150
fog6,6,0.11,large,7689,0.2208,0.0329,0.0573,0.1226,0.0626
fog6,6,0.11,all,14267,0.1285,0.0393,0.0601,0.0765,0.0358
fog7,7,0.12,small,2434,0.1965,0.0559,0.0870,0.0848,0.0346
fog7,7,0.12,medium,4144,0.0351,0.0111,0.0169,0.0222,0.0116
fog7,7,0.12,large,7689,0.1394,0.0195,0.0342,0.0753,0.0401
fog7,7,0.12,all,14267,0.1001,0.0240,0.0388,0.0560,0.0273
fog8,8,0.13,small,2434,0.1332,0.0431,0.0652,0.0685,0.0265
fog8,8,0.13,medium,4144,0.0259,0.0065,0.0104,0.0177,0.0090
fog8,8,0.13,large,7689,0.0821,0.0104,0.0185,0.0459,0.0236
fog8,8,0.13,all,14267,0.0725,0.0153,0.0252,0.0418,0.0198
fog9,9,0.14,small,2434,0.1316,0.0275,0.0455,0.0557,0.0213
fog9,9,0.14,medium,4144,0.0249,0.0056,0.0091,0.0166,0.0086
fog9,9,0.14,large,7612,0.0473,0.0054,0.0097,0.0275,0.0153
fog9,9,0.14,all,14190,0.0518,0.0097,0.0163,0.0306,0.0151
