model,seed,level,images,instances,precision,recall,map50,map50_95,log_file
fogaware,1,fog_i03,15370,14268,0.921,0.792,0.862,0.44,runs/val/inference_seeds_metrics/logs/seedtest_fogaware_seed1_fog_i03.log
fogaware,1,fog_i04,15370,14268,0.91,0.757,0.833,0.413,runs/val/inference_seeds_metrics/logs/seedtest_fogaware_seed1_fog_i04.log
fogaware,1,fog_i05,15370,14268,0.882,0.711,0.785,0.368,runs/val/inference_seeds_metrics/logs/seedtest_fogaware_seed1_fog_i05.log
fogaware,1,fog_i06,15370,14268,0.808,0.662,0.711,0.317,runs/val/inference_seeds_metrics/logs/seedtest_fogaware_seed1_fog_i06.log
fogaware,1,fog_i07,15370,14268,0.749,0.539,0.574,0.245,runs/val/inference_seeds_metrics/logs/seedtest_fogaware_seed1_fog_i07.log
fogaware,1,fog_i08,15370,14268,0.658,0.403,0.411,0.167,runs/val/inference_seeds_metrics/logs/seedtest_fogaware_seed1_fog_i08.log
fogaware,1,fog_i09,15293,14191,0.529,0.253,0.241,0.0934,runs/val/inference_seeds_metrics/logs/seedtest_fogaware_seed1_fog_i09.log
fogaware,2,clear,15570,14443,0.946,0.903,0.944,0.52,runs/val/inference_seeds_metrics/logs/seedtest_fogaware_seed2_clear.log
fogaware,2,fog_i00,15412,14285,0.933,0.867,0.915,0.496,runs/val/inference_seeds_metrics/logs/seedtest_fogaware_seed2_fog_i00.log
fogaware,2,fog_i01,15370,14268,0.934,0.844,0.901,0.482,runs/val/inference_seeds_metrics/logs/seedtest_fogaware_seed2_fog_i01.log
fogaware,2,fog_i02,15280,14178,0.917,0.821,0.883,0.465,runs/val/inference_seeds_metrics/logs/seedtest_fogaware_seed2_fog_i02.log
fogaware,2,fog_i03,15370,14268,0.914,0.791,0.862,0.439,runs/val/inference_seeds_metrics/logs/seedtest_fogaware_seed2_fog_i03.log
fogaware,2,fog_i04,15370,14268,0.89,0.761,0.829,0.409,runs/val/inference_seeds_metrics/logs/seedtest_fogaware_seed2_fog_i04.log
fogaware,2,fog_i05,15370,14268,0.854,0.712,0.778,0.365,runs/val/inference_seeds_metrics/logs/seedtest_fogaware_seed2_fog_i05.log
fogaware,2,fog_i06,15370,14268,0.795,0.656,0.701,0.314,runs/val/inference_seeds_metrics/logs/seedtest_fogaware_seed2_fog_i06.log
